source_log,mode,ranks,S,d_h,H_local,B_M,B_N,repeat,validate,tile_count,d_model,message_bytes,total_reduced_bytes,wall_ms,cuda_event_ms,exposed_ms,validation_status,max_abs_err,max_rel_err
results/results_mode1.log,1,1,2048,64,4,32,128,1,0,64,256,32768,2097152,126.026636,126.013153,0.013483,,,
results/results_mode1.log,1,1,2048,64,4,32,128,2,0,64,256,32768,2097152,125.184536,125.163200,0.021336,,,
results/results_mode1.log,1,1,2048,64,4,32,128,3,0,64,256,32768,2097152,126.904424,126.887421,0.017003,,,
results/results_mode1.log,1,1,4096,64,4,32,128,1,0,128,256,32768,4194304,409.672821,409.656830,0.015991,,,
results/results_mode1.log,1,1,4096,64,4,32,128,2,0,128,256,32768,4194304,412.673486,412.658234,0.015252,,,
results/results_mode1.log,1,1,4096,64,4,32,128,3,0,128,256,32768,4194304,408.340775,408.321930,0.018845,,,
results/results_mode1.log,1,1,8192,64,4,32,128,1,0,256,256,32768,8388608,1533.646600,1533.640625,0.005975,,,
results/results_mode1.log,1,1,8192,64,4,32,128,2,0,256,256,32768,8388608,1534.638508,1534.626343,0.012165,,,
results/results_mode1.log,1,1,8192,64,4,32,128,3,0,256,256,32768,8388608,1530.598624,1530.589966,0.008658,,,
results/results_mode1.log,1,2,2048,64,4,32,128,1,0,64,512,65536,4194304,163.916923,163.894943,0.021980,,,
results/results_mode1.log,1,2,2048,64,4,32,128,2,0,64,512,65536,4194304,156.926320,156.862915,0.063405,,,
results/results_mode1.log,1,2,2048,64,4,32,128,3,0,64,512,65536,4194304,148.935371,148.908188,0.027183,,,
results/results_mode1.log,1,2,4096,64,4,32,128,1,0,128,512,65536,8388608,454.706976,454.686646,0.020330,,,
results/results_mode1.log,1,2,4096,64,4,32,128,2,0,128,512,65536,8388608,441.541188,441.516815,0.024373,,,
results/results_mode1.log,1,2,4096,64,4,32,128,3,0,128,512,65536,8388608,439.195311,439.173889,0.021422,,,
results/results_mode1.log,1,2,8192,64,4,32,128,1,0,256,512,65536,16777216,1587.983458,1587.911987,0.071471,,,
results/results_mode1.log,1,2,8192,64,4,32,128,2,0,256,512,65536,16777216,1582.165173,1582.088501,0.076672,,,
results/results_mode1.log,1,2,8192,64,4,32,128,3,0,256,512,65536,16777216,1576.846705,1576.830200,0.016505,,,
results/results_mode1.log,1,4,2048,64,4,32,128,1,0,64,1024,131072,8388608,164.433751,164.380386,0.053365,,,
results/results_mode1.log,1,4,2048,64,4,32,128,2,0,64,1024,131072,8388608,158.356235,158.199936,0.156299,,,
results/results_mode1.log,1,4,2048,64,4,32,128,3,0,64,1024,131072,8388608,166.707248,166.683395,0.023853,,,
results/results_mode1.log,1,4,4096,64,4,32,128,1,0,128,1024,131072,16777216,459.641020,459.511688,0.129332,,,
results/results_mode1.log,1,4,4096,64,4,32,128,2,0,128,1024,131072,16777216,458.090391,458.069214,0.021177,,,
results/results_mode1.log,1,4,4096,64,4,32,128,3,0,128,1024,131072,16777216,460.165445,460.067261,0.098184,,,
results/results_mode1.log,1,4,8192,64,4,32,128,1,0,256,1024,131072,33554432,1618.028387,1618.015259,0.013128,,,
results/results_mode1.log,1,4,8192,64,4,32,128,2,0,256,1024,131072,33554432,1620.885664,1620.786011,0.099653,,,
results/results_mode1.log,1,4,8192,64,4,32,128,3,0,256,1024,131072,33554432,1617.104569,1617.091675,0.012894,,,
results/results_mode2.log,2,1,2048,64,4,32,128,1,0,64,256,32768,2097152,135.014913,135.001633,0.013280,,,
results/results_mode2.log,2,1,2048,64,4,32,128,2,0,64,256,32768,2097152,136.821007,136.800964,0.020043,,,
results/results_mode2.log,2,1,2048,64,4,32,128,3,0,64,256,32768,2097152,135.705760,135.691879,0.013881,,,
results/results_mode2.log,2,1,4096,64,4,32,128,1,0,128,256,32768,4194304,420.342331,420.322845,0.019486,,,
results/results_mode2.log,2,1,4096,64,4,32,128,2,0,128,256,32768,4194304,418.687387,418.675110,0.012277,,,
results/results_mode2.log,2,1,4096,64,4,32,128,3,0,128,256,32768,4194304,419.137628,419.125641,0.011987,,,
results/results_mode2.log,2,1,8192,64,4,32,128,1,0,256,256,32768,8388608,1549.906488,1549.900146,0.006342,,,
results/results_mode2.log,2,1,8192,64,4,32,128,2,0,256,256,32768,8388608,1549.776106,1549.767456,0.008650,,,
results/results_mode2.log,2,1,8192,64,4,32,128,3,0,256,256,32768,8388608,1551.516071,1551.511108,0.004963,,,
results/results_mode2.log,2,2,2048,64,4,32,128,1,0,64,512,65536,4194304,142.926471,142.902435,0.024036,,,
results/results_mode2.log,2,2,2048,64,4,32,128,2,0,64,512,65536,4194304,145.155552,145.127716,0.027836,,,
results/results_mode2.log,2,2,2048,64,4,32,128,3,0,64,512,65536,4194304,141.831624,141.801636,0.029988,,,
