mode,ranks,S,d_h,H_local,B_M,B_N,tile_count,d_model,message_bytes,total_reduced_bytes,n,wall_ms_mean,wall_ms_min,wall_ms_max,wall_ms_stddev,cuda_event_ms_mean,cuda_event_ms_min,cuda_event_ms_max,cuda_event_ms_stddev,exposed_ms_mean,exposed_ms_min,exposed_ms_max,exposed_ms_stddev
1,1,2048,64,4,32,128,64,256,32768,2097152,3,126.038532,125.184536,126.904424,0.860006,126.021258,125.163200,126.887421,0.862139,0.017274,0.013483,0.021336,0.003934
1,1,4096,64,4,32,128,128,256,32768,4194304,3,410.229027,408.340775,412.673486,2.219261,410.212331,408.321930,412.658234,2.220883,0.016696,0.015252,0.018845,0.001897
1,1,8192,64,4,32,128,256,256,32768,8388608,3,1532.961244,1530.598624,1534.638508,2.105339,1532.952311,1530.589966,1534.626343,2.104380,0.008933,0.005975,0.012165,0.003104
1,2,2048,64,4,32,128,64,512,65536,4194304,3,156.592871,148.935371,163.916923,7.496340,156.555349,148.908188,163.894943,7.498110,0.037523,0.021980,0.063405,0.022565
1,2,4096,64,4,32,128,128,512,65536,8388608,3,445.147825,439.195311,454.706976,8.361149,445.125783,439.173889,454.686646,8.362410,0.022042,0.020330,0.024373,0.002092
1,2,8192,64,4,32,128,256,512,65536,16777216,3,1582.331779,1576.846705,1587.983458,5.570246,1582.276896,1576.830200,1587.911987,5.543295,0.054883,0.016505,0.076672,0.033338
1,4,2048,64,4,32,128,64,1024,131072,8388608,3,163.165745,158.356235,166.707248,4.317492,163.087906,158.199936,166.683395,4.386929,0.077839,0.023853,0.156299,0.069532
1,4,4096,64,4,32,128,128,1024,131072,16777216,3,459.298952,458.090391,460.165445,1.078990,459.216054,458.069214,460.067261,1.031309,0.082898,0.021177,0.129332,0.055674
1,4,8192,64,4,32,128,256,1024,131072,33554432,3,1618.672873,1617.104569,1620.885664,1.971216,1618.630982,1617.091675,1620.786011,1.922593,0.041892,0.012894,0.099653,0.050023
2,1,2048,64,4,32,128,64,256,32768,2097152,3,135.847227,135.014913,136.821007,0.911320,135.831492,135.001633,136.800964,0.907754,0.015735,0.013280,0.020043,0.003743
2,1,4096,64,4,32,128,128,256,32768,4194304,3,419.389115,418.687387,420.342331,0.855654,419.374532,418.675110,420.322845,0.851597,0.014583,0.011987,0.019486,0.004248
2,1,8192,64,4,32,128,256,256,32768,8388608,3,1550.399555,1549.776106,1551.516071,0.969126,1550.392903,1549.767456,1551.511108,0.970664,0.006652,0.004963,0.008650,0.001863
2,2,2048,64,4,32,128,64,512,65536,4194304,3,143.304549,141.831624,145.155552,1.693910,143.277262,141.801636,145.127716,1.694424,0.027287,0.024036,0.029988,0.003014
2,2,4096,64,4,32,128,128,512,65536,8388608,3,427.925305,427.569082,428.322790,0.378544,427.900167,427.542999,428.298553,0.379460,0.025138,0.024237,0.026083,0.000924
2,2,8192,64,4,32,128,256,512,65536,16777216,3,1564.513513,1563.416334,1565.361006,0.996090,1564.489909,1563.395752,1565.334961,0.993314,0.023604,0.020582,0.026045,0.002778
2,4,2048,64,4,32,128,64,1024,131072,8388608,3,184.078607,180.506674,185.970834,3.095209,184.051819,180.481628,185.952927,3.094052,0.026788,0.017907,0.037412,0.009869
2,4,4096,64,4,32,128,128,1024,131072,16777216,3,489.662433,485.435037,494.998252,4.877009,489.632822,485.411804,494.951965,4.863957,0.029611,0.019312,0.046287,0.014575
2,4,8192,64,4,32,128,256,1024,131072,33554432,3,1673.021134,1670.757535,1676.072847,2.743898,1672.996460,1670.721191,1676.045166,2.744965,0.024674,0.009997,0.036344,0.013428
3,1,2048,64,4,32,128,64,256,32768,2097152,3,132.404885,132.237861,132.547873,0.156398,132.388407,132.224640,132.527908,0.153083,0.016478,0.013221,0.019965,0.003378
3,1,4096,64,4,32,128,128,256,32768,4194304,3,412.945188,412.601359,413.309309,0.354411,412.926992,412.585724,413.289307,0.352263,0.018196,0.015635,0.020002,0.002279
3,1,8192,64,4,32,128,256,256,32768,8388608,3,1535.283626,1534.551207,1535.876960,0.673731,1535.276164,1534.542725,1535.871094,0.674929,0.007462,0.005866,0.008482,0.001400
3,2,2048,64,4,32,128,64,512,65536,4194304,3,223.541871,216.635105,231.043896,7.222816,223.489975,216.614685,230.928772,7.173662,0.051896,0.020145,0.115124,0.054757
3,2,4096,64,4,32,128,128,512,65536,8388608,3,500.382154,481.917000,513.168560,16.381426,500.359731,481.891998,513.149597,16.384078,0.022423,0.018963,0.025002,0.003114
3,2,8192,64,4,32,128,256,512,65536,16777216,3,1695.440227,1692.775315,1698.612006,2.951174,1695.423869,1692.755615,1698.597534,2.953572,0.016358,0.014472,0.019700,0.002902
3,4,2048,64,4,32,128,64,1024,131072,8388608,3,249.607248,249.040916,250.407750,0.712871,249.174601,249.020157,249.352478,0.167395,0.432647,0.020600,1.256581,0.713548
3,4,4096,64,4,32,128,128,1024,131072,16777216,3,663.139099,646.430145,691.550613,24.732096,662.887838,645.788086,691.456909,24.901191,0.251261,0.018021,0.642059,0.340550
3,4,8192,64,4,32,128,256,1024,131072,33554432,3,2062.967630,2061.849655,2065.089070,1.838113,2062.655925,2061.049561,2065.078613,2.134972,0.311706,0.010055,0.914605,0.522126
