source_log,mode,ranks,S,d_h,H_local,B_M,B_N,repeat,validate,tile_count,d_model,message_bytes,total_reduced_bytes,wall_ms,cuda_event_ms,exposed_ms,validation_status,max_abs_err,max_rel_err
results_large/large_sweep.log,1,4,2048,128,8,32,128,1,0,64,4096,524288,33554432,549.853750,549.752991,0.100759,,,
results_large/large_sweep.log,1,4,2048,128,8,32,128,2,0,64,4096,524288,33554432,335.076337,335.053497,0.022840,,,
results_large/large_sweep.log,1,4,2048,128,8,32,128,3,0,64,4096,524288,33554432,372.684008,372.607483,0.076525,,,
results_large/large_sweep.log,1,4,4096,128,8,32,128,1,0,128,4096,524288,67108864,1083.189720,1083.042603,0.147117,,,
results_large/large_sweep.log,1,4,4096,128,8,32,128,2,0,128,4096,524288,67108864,1087.240711,1087.136597,0.104114,,,
results_large/large_sweep.log,1,4,4096,128,8,32,128,3,0,128,4096,524288,67108864,1060.850055,1060.734741,0.115314,,,
results_large/large_sweep.log,1,4,8192,128,8,32,128,1,0,256,4096,524288,134217728,3850.033533,3849.974121,0.059412,,,
results_large/large_sweep.log,1,4,8192,128,8,32,128,2,0,256,4096,524288,134217728,3821.701480,3821.596924,0.104556,,,
results_large/large_sweep.log,1,4,8192,128,8,32,128,3,0,256,4096,524288,134217728,3820.082702,3820.078125,0.004577,,,
results_large/large_sweep.log,1,4,4096,128,16,32,128,1,0,128,8192,1048576,134217728,1199.544472,1199.520142,0.024330,,,
results_large/large_sweep.log,1,4,4096,128,16,32,128,2,0,128,8192,1048576,134217728,1192.904285,1192.641724,0.262561,,,
results_large/large_sweep.log,1,4,4096,128,16,32,128,3,0,128,8192,1048576,134217728,1213.309784,1213.290894,0.018890,,,
results_large/large_sweep.log,2,4,2048,128,8,32,128,1,0,64,4096,524288,33554432,379.356138,379.335144,0.020994,,,
results_large/large_sweep.log,2,4,2048,128,8,32,128,2,0,64,4096,524288,33554432,372.650987,372.621948,0.029039,,,
results_large/large_sweep.log,2,4,2048,128,8,32,128,3,0,64,4096,524288,33554432,389.807464,389.785522,0.021942,,,
results_large/large_sweep.log,2,4,4096,128,8,32,128,1,0,128,4096,524288,67108864,1094.144203,1094.112427,0.031776,,,
results_large/large_sweep.log,2,4,4096,128,8,32,128,2,0,128,4096,524288,67108864,1098.969331,1098.950684,0.018647,,,
results_large/large_sweep.log,2,4,4096,128,8,32,128,3,0,128,4096,524288,67108864,1097.475093,1097.435181,0.039912,,,
results_large/large_sweep.log,2,4,8192,128,8,32,128,1,0,256,4096,524288,134217728,3898.226630,3898.216797,0.009833,,,
results_large/large_sweep.log,2,4,8192,128,8,32,128,2,0,256,4096,524288,134217728,3899.294683,3899.272705,0.021978,,,
results_large/large_sweep.log,2,4,8192,128,8,32,128,3,0,256,4096,524288,134217728,3946.912634,3946.905029,0.007605,,,
results_large/large_sweep.log,2,4,4096,128,16,32,128,1,0,128,8192,1048576,134217728,1239.891954,1239.875122,0.016832,,,
results_large/large_sweep.log,2,4,4096,128,16,32,128,2,0,128,8192,1048576,134217728,1232.286401,1232.229492,0.056909,,,
results_large/large_sweep.log,2,4,4096,128,16,32,128,3,0,128,8192,1048576,134217728,1254.409879,1254.342163,0.067716,,,
results_large/large_sweep.log,3,4,2048,128,8,32,128,1,0,64,4096,524288,33554432,416.773983,416.172943,0.601040,,,
results_large/large_sweep.log,3,4,2048,128,8,32,128,2,0,64,4096,524288,33554432,413.478762,412.974792,0.503970,,,
results_large/large_sweep.log,3,4,2048,128,8,32,128,3,0,64,4096,524288,33554432,416.642999,416.569702,0.073297,,,
results_large/large_sweep.log,3,4,4096,128,8,32,128,1,0,128,4096,524288,67108864,1228.758871,1227.286133,1.472738,,,
results_large/large_sweep.log,3,4,4096,128,8,32,128,2,0,128,4096,524288,67108864,1231.747249,1231.266479,0.480770,,,
results_large/large_sweep.log,3,4,4096,128,8,32,128,3,0,128,4096,524288,67108864,1243.114033,1242.172485,0.941548,,,
results_large/large_sweep.log,3,4,8192,128,8,32,128,1,0,256,4096,524288,134217728,4208.543636,4207.547363,0.996273,,,
results_large/large_sweep.log,3,4,8192,128,8,32,128,2,0,256,4096,524288,134217728,4191.794536,4191.550781,0.243755,,,
results_large/large_sweep.log,3,4,8192,128,8,32,128,3,0,256,4096,524288,134217728,4215.491207,4215.166016,0.325191,,,
results_large/large_sweep.log,3,4,4096,128,16,32,128,1,0,128,8192,1048576,134217728,1362.325895,1361.964722,0.361173,,,
results_large/large_sweep.log,3,4,4096,128,16,32,128,2,0,128,8192,1048576,134217728,1365.070811,1363.191406,1.879405,,,
results_large/large_sweep.log,3,4,4096,128,16,32,128,3,0,128,8192,1048576,134217728,1373.076506,1370.992798,2.083708,,,
