mode,ranks,S,d_h,H_local,B_M,B_N,tile_count,d_model,message_bytes,total_reduced_bytes,n,wall_ms_mean,wall_ms_min,wall_ms_max,wall_ms_stddev,cuda_event_ms_mean,cuda_event_ms_min,cuda_event_ms_max,cuda_event_ms_stddev,exposed_ms_mean,exposed_ms_min,exposed_ms_max,exposed_ms_stddev
1,4,2048,128,8,32,128,64,4096,524288,33554432,3,419.204698,335.076337,549.853750,114.697277,419.137990,335.053497,549.752991,114.663788,0.066708,0.022840,0.100759,0.039876
1,4,4096,128,8,32,128,128,4096,524288,67108864,3,1077.093495,1060.850055,1087.240711,14.212306,1076.971314,1060.734741,1087.136597,14.209501,0.122182,0.104114,0.147117,0.022309
1,4,4096,128,16,32,128,128,8192,1048576,134217728,3,1201.919514,1192.904285,1213.309784,10.408012,1201.817587,1192.641724,1213.290894,10.514549,0.101927,0.018890,0.262561,0.139140
1,4,8192,128,8,32,128,256,4096,524288,134217728,3,3830.605905,3820.082702,3850.033533,16.844277,3830.549723,3820.078125,3849.974121,16.839154,0.056182,0.004577,0.104556,0.050068
2,4,2048,128,8,32,128,64,4096,524288,33554432,3,380.604863,372.650987,389.807464,8.646136,380.580871,372.621948,389.785522,8.649332,0.023992,0.020994,0.029039,0.004397
2,4,4096,128,8,32,128,128,4096,524288,67108864,3,1096.862876,1094.144203,1098.969331,2.470136,1096.832764,1094.112427,1098.950684,2.474745,0.030112,0.018647,0.039912,0.010730
2,4,4096,128,16,32,128,128,8192,1048576,134217728,3,1242.196078,1232.286401,1254.409879,11.240276,1242.148926,1232.229492,1254.342163,11.230325,0.047152,0.016832,0.067716,0.026808
2,4,8192,128,8,32,128,256,4096,524288,134217728,3,3914.811316,3898.226630,3946.912634,27.805686,3914.798177,3898.216797,3946.905029,27.810361,0.013139,0.007605,0.021978,0.007736
3,4,2048,128,8,32,128,64,4096,524288,33554432,3,415.631915,413.478762,416.773983,1.865835,415.239146,412.974792,416.569702,1.970997,0.392769,0.073297,0.601040,0.280896
3,4,4096,128,8,32,128,128,4096,524288,67108864,3,1234.540051,1228.758871,1243.114033,7.574132,1233.575032,1227.286133,1242.172485,7.707005,0.965019,0.480770,1.472738,0.496400
3,4,4096,128,16,32,128,128,8192,1048576,134217728,3,1366.824404,1362.325895,1373.076506,5.585716,1365.382975,1361.964722,1370.992798,4.896812,1.441429,0.361173,2.083708,0.941089
3,4,8192,128,8,32,128,256,4096,524288,134217728,3,4205.276460,4191.794536,4215.491207,12.181498,4204.754720,4191.550781,4215.166016,12.052758,0.521740,0.243755,0.996273,0.412970
