source_log,mode,ranks,S,d_h,H_local,B_M,B_N,repeat,validate,tile_count,d_model,message_bytes,total_reduced_bytes,wall_ms,cuda_event_ms,exposed_ms,validation_status,max_abs_err,max_rel_err
results_tiles/tile_sweep.log,1,4,4096,64,4,8,128,1,0,512,1024,32768,16777216,1164.419323,1164.358643,0.060680,,,
results_tiles/tile_sweep.log,1,4,4096,64,4,8,128,2,0,512,1024,32768,16777216,1059.792752,1059.689453,0.103299,,,
results_tiles/tile_sweep.log,1,4,4096,64,4,8,128,3,0,512,1024,32768,16777216,1081.822217,1081.725952,0.096265,,,
results_tiles/tile_sweep.log,2,4,4096,64,4,8,128,1,0,512,1024,32768,16777216,1056.403361,1056.372681,0.030680,,,
results_tiles/tile_sweep.log,2,4,4096,64,4,8,128,2,0,512,1024,32768,16777216,1043.299922,1043.274780,0.025142,,,
results_tiles/tile_sweep.log,2,4,4096,64,4,8,128,3,0,512,1024,32768,16777216,1044.160548,1044.140015,0.020533,,,
results_tiles/tile_sweep.log,3,4,4096,64,4,8,128,1,0,512,1024,32768,16777216,1839.683175,1839.531982,0.151193,,,
results_tiles/tile_sweep.log,3,4,4096,64,4,8,128,2,0,512,1024,32768,16777216,1822.717687,1822.701538,0.016149,,,
results_tiles/tile_sweep.log,3,4,4096,64,4,8,128,3,0,512,1024,32768,16777216,1814.829279,1812.229126,2.600153,,,
results_tiles/tile_sweep.log,1,4,4096,64,4,16,128,1,0,256,1024,65536,16777216,620.194018,620.097534,0.096484,,,
results_tiles/tile_sweep.log,1,4,4096,64,4,16,128,2,0,256,1024,65536,16777216,618.631054,618.611694,0.019360,,,
results_tiles/tile_sweep.log,1,4,4096,64,4,16,128,3,0,256,1024,65536,16777216,607.602367,607.582214,0.020153,,,
results_tiles/tile_sweep.log,2,4,4096,64,4,16,128,1,0,256,1024,65536,16777216,625.266717,625.240051,0.026666,,,
results_tiles/tile_sweep.log,2,4,4096,64,4,16,128,2,0,256,1024,65536,16777216,600.870948,600.842224,0.028724,,,
results_tiles/tile_sweep.log,2,4,4096,64,4,16,128,3,0,256,1024,65536,16777216,598.553893,598.528015,0.025878,,,
results_tiles/tile_sweep.log,3,4,4096,64,4,16,128,1,0,256,1024,65536,16777216,999.384713,999.367676,0.017037,,,
results_tiles/tile_sweep.log,3,4,4096,64,4,16,128,2,0,256,1024,65536,16777216,997.830634,996.415466,1.415168,,,
results_tiles/tile_sweep.log,3,4,4096,64,4,16,128,3,0,256,1024,65536,16777216,996.684175,996.625427,0.058748,,,
results_tiles/tile_sweep.log,1,4,4096,64,4,32,128,1,0,128,1024,131072,16777216,468.963644,468.904968,0.058676,,,
results_tiles/tile_sweep.log,1,4,4096,64,4,32,128,2,0,128,1024,131072,16777216,463.451495,463.383545,0.067950,,,
results_tiles/tile_sweep.log,1,4,4096,64,4,32,128,3,0,128,1024,131072,16777216,463.717340,463.695862,0.021478,,,
results_tiles/tile_sweep.log,2,4,4096,64,4,32,128,1,0,128,1024,131072,16777216,491.608725,491.580414,0.028311,,,
results_tiles/tile_sweep.log,2,4,4096,64,4,32,128,2,0,128,1024,131072,16777216,488.352482,488.328186,0.024296,,,
results_tiles/tile_sweep.log,2,4,4096,64,4,32,128,3,0,128,1024,131072,16777216,493.773585,493.752319,0.021266,,,
results_tiles/tile_sweep.log,3,4,4096,64,4,32,128,1,0,128,1024,131072,16777216,644.638000,644.326416,0.311584,,,
results_tiles/tile_sweep.log,3,4,4096,64,4,32,128,2,0,128,1024,131072,16777216,615.616711,615.578613,0.038098,,,
results_tiles/tile_sweep.log,3,4,4096,64,4,32,128,3,0,128,1024,131072,16777216,629.126164,628.467712,0.658452,,,
